codigo_municipio,departamento,casos,municipio,poblacion
701,SOLOLA,47,SOLOLA,98886
702,SOLOLA,7,SAN JOSE CHACAYA,5128
703,SOLOLA,1,SANTA MARIA VISITACION,2563
704,SOLOLA,10,SANTA LUCIA UTATLAN,21695
705,SOLOLA,18,NAHUALA,91523
706,SOLOLA,5,SANTA CATARINA IXTAHUACAN,60200
707,SOLOLA,2,SANTA CLARA LA LAGUNA,10200
709,SOLOLA,9,SAN ANDRES SEMETABAJ,14640
710,SOLOLA,21,PANAJACHEL,15840
712,SOLOLA,2,SAN ANTONIO PALOPO,15639
713,SOLOLA,8,SAN LUCAS TOLIMAN,31581
716,SOLOLA,1,SAN MARCOS LA LAGUNA,2911
717,SOLOLA,3,SAN JUAN LA LAGUNA,13123
718,SOLOLA,3,SAN PEDRO LA LAGUNA,11600
719,SOLOLA,10,SANTIAGO ATITLAN,44025
